"dat.source","locID","session_nr","vrijwillID","year","date","Latitude","Longitude","BEKNR","BEKNAAM","coordinateUncertaintyInMeters","procambarus.clarkii","procambarus.virginalis","procambarus.acutus","faxonius.limosus","pacifastacus.leniusculus","faxonius.virilis","pontastacus.leptodactylus","CPUE_faxonius.limosus","CPUE_faxonius.virilis","CPUE_pacifastacus.leniusculus","CPUE_pontastacus.leptodactylus","CPUE_procambarus.acutus","CPUE_procambarus.clarkii","CPUE_procambarus.virginalis","valid_link","link_method","VHAS","geometry","VHAG","CATC","WVLC","distances"
"craywatch_data","I_1501_1","I_1501_1_1","mzc3ytq4",2024,2024-08-23,50.7447390025422,4.2502099959244,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6043235",c(141633.565013069, 159364.099568913),"6552","1",NA,0.658623614730506
"craywatch_data","I_1502_1","I_1502_1_1","yjq4y2nh",2024,2024-08-24,50.7120313025491,4.22571339592696,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","32222",c(139897.657142607, 155728.818509662),"6552","1",NA,0.94981599830314
"craywatch_data","I_1502_4","I_1502_4_1","mzc3ytq4",2024,2024-09-06,50.7128000025497,4.23340099592515,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer",NA,c(140440.767893025, 155813.31335566),NA,NA,"VBRHLE0088",3.40363661246353
"craywatch_data","I_1540_1","I_1540_1_1","mjkyzjq3",2025,2025-08-12,50.7461156,4.1030811,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7007667",c(131249.998538407, 159543.998289023),"6571","2",NA,0.659631339155287
"craywatch_data","I_1540_2","I_1540_2_1","mjkyzjq3",2025,2025-08-12,50.7520451,4.0576583,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6040984",c(128046.996811314, 160215.998649549),"6354","2",NA,0.127458832930159
"craywatch_data","I_1541_2","I_1541_2_1","mjkyzjq3",2025,2025-08-18,50.6993496,4.0144358,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7036531",c(124969.000940457, 154368.000864454),"5952","1",NA,0.0908695266069943
"craywatch_data","I_1547_1","I_1547_1_1","mjkyzjq3",2025,2025-09-01,50.707375,3.9465587,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7056288",c(120178.849077913, 155285.73479805),"6347","2",NA,0.6086448189786
"craywatch_data","I_1570_3","I_1570_3_1","yjbhmzzi",2024,2024-09-24,50.739314,4.024344,7,"Denderbekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","7073726",c(125689.552529764, 158810.189589766),"6317","2",NA,2.07429635212934
"craywatch_data","I_1600_1","I_1600_1_1","nmm2njmx",2025,2025-07-10,50.77818,4.21213,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","6043244",c(138953.749508106, 163088.963964541),"6554","1",NA,0.332218129560231
"craywatch_data","I_1600_4","I_1600_4_1","mziwognl",2024,2024-08-18,50.7984079,4.2827493,8,"Dijle- en Zennebekken",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,"<buffer","31637",c(143937.000426889, 165331.002539822),"6554","1",NA,0.133586388820939
