"consecutive"	"dat.source"	"year"	"date"	"CPUE_pontastacus.leptodactylus"	"CPUE_pacifastacus.leniusculus"	"pontastacus.leptodactylus"	"pacifastacus.leniusculus"	"CPUE_faxonius.limosus"	"CPUE_procambarus.clarkii"	"CPUE_procambarus.acutus"	"CPUE_procambarus.virginalis"	"CPUE_faxonius.virilis"	"faxonius.limosus"	"procambarus.clarkii"	"procambarus.acutus"	"procambarus.virginalis"	"faxonius.virilis"	"BEKNR"	"BEKNAAM"	"longitude"	"latitude"	"nearest_river_index"	"VHAG"	"CATC"	"WVLC"	"ID"	"distances_cray_VHAG_WVLC"	"sample_point"	"sample_datum_monstername"	"sample_tijdstip_monstername"	"sample_point_omschrijving"	"lambert_x"	"lambert_y"	"waterloop"	"bekken"	"gemeente"	"Cl-"	"N t"	"O2"	"BZV5"	"EC 20"	"T"	"pH"	"Secchi"	"P t"	"Ca o"	"Clfyl a"	"ZS"	"oPO4"	"distance_cray_FC"
TRUE	"craywatch_data"	2024	"2024-08-22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	"Benedenscheldebekken"	4.37254529595276	51.3017677023949	10366	NA	NA	"ANTANT0369"	53	0.185447855306734	"OW182590"	"2024-06-26; 2024-07-24; 2024-08-29"	"13:36:51; 11:24:05; 12:31:09"	"Ekeren; Rode Weel thv PS"	148185.000262	221770.00715	"VOORGRACHT"	"Benedenscheldebekken"	"Antwerpen"	154.666666666667	2.82333333333333	6.78666666666667	2.4	943.333333333333	22.4	7.44	NA	0.105666666666667	NA	NA	6.73333333333333	NA	2126.08521645121
TRUE	"craywatch_data"	2024	"2024-08-22"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	"Benedenscheldebekken"	4.37254529595276	51.3017677023949	10366	NA	NA	"ANTANT0369"	54	0.185447855306734	"OW182590"	"2024-06-26; 2024-07-24; 2024-08-29"	"13:36:51; 11:24:05; 12:31:09"	"Ekeren; Rode Weel thv PS"	148185.000262	221770.00715	"VOORGRACHT"	"Benedenscheldebekken"	"Antwerpen"	154.666666666667	2.82333333333333	6.78666666666667	2.4	943.333333333333	22.4	7.44	NA	0.105666666666667	NA	NA	6.73333333333333	NA	2126.08521645121
TRUE	"craywatch_data"	2024	"2024-10-23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	"Netebekken"	5.18133039574405	51.2304580025062	8827	NA	NA	"ANTMOL0036"	82	0	"OW843650"	"2024-06-04; 2024-06-18; 2024-07-02; 2024-07-16; 2024-07-29; 2024-08-13; 2024-08-27"	"10:26:25; 13:38:02; 10:19:01; 09:55:16; 10:10:32; 10:13:29; 10:13:17"	"RV: Zilvermeerhaven Port Aventura; Zilvermeerlaan Mol"	206140.999005	213558.000026	"VIJVERS EN ZANDWIN. MOL"	"Netebekken"	"Mol"	NA	NA	10.8357142857143	NA	348.857142857143	20.7285714285714	8.66714285714286	171.428571428571	NA	NA	NA	NA	NA	633.525371643389
TRUE	"craywatch_data"	2024	"2024-08-01"	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	NA	1	NA	NA	NA	NA	4	"Benedenscheldebekken"	4.53695209591228	51.3022217024129	29387	NA	NA	"ANTBRS0068"	132	0	"OW184400"	"2024-06-10; 2024-06-25; 2024-07-09; 2024-07-22; 2024-08-06; 2024-08-19"	"13:27:45; 13:10:23; 11:56:40; 12:11:40; 12:18:13; 15:08:34"	"RV: E10 plas; Jagersdreef, via Miksebaan"	161540.000222	221514.006693	"Onbekend"	"Onbekend"	"Brasschaat"	NA	NA	9.53	NA	360.666666666667	22.4833333333333	7.98166666666667	76.6666666666667	NA	NA	NA	NA	NA	227.56920768303
TRUE	"craywatch_data"	2024	"2024-11-01"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	"Demerbekken"	5.32603999569162	51.0807552025667	13843	NA	NA	"LIMBRG0217"	198	0	"OW422700"	"2024-06-03; 2024-06-10; 2024-06-17; 2024-06-24; 2024-07-01; 2024-07-09; 2024-07-15; 2024-07-22; 2024-07-29; 2024-08-05; 2024-08-13; 2024-08-19; 2024-08-26"	"11:02:52; 10:22:34; 08:09:30; 08:29:49; 08:06:01; 11:22:50; 09:16:01; 10:16:55; 08:51:32; 11:39:18; 09:34:01; 10:05:48; 10:42:03"	"Koersel, Gemeentelijk Zwembad 't Fonteintje, ter hoogte van de poort"	217080.000592	197170.002176	"T FONTEINTJE"	"Demerbekken"	"Beringen"	NA	NA	7.90461538461538	NA	39.2461538461538	20.7692307692308	6.63538461538462	62.5	NA	NA	NA	NA	NA	0.00115651183966671
TRUE	"craywatch_data"	2024	"2024-09-20"	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	2	"Bekken van de Brugse Polders"	3.27747689622143	51.3356530022681	10472	NA	NA	"WVLKNO0116"	241	0	"OW6014"	"2024-06-11; 2024-06-25; 2024-07-09; 2024-07-23; 2024-08-06; 2024-08-20"	"09:01:59; 09:24:19; 09:02:30; 13:02:24; 09:03:27; 09:02:53"	"Put van De Cloedt, Duinenwater, steiger Lakeclub"	73680.999355	225846.005402	"Onbekend"	"Onbekend"	"Knokke-Heist"	NA	NA	9.71833333333333	NA	1150.66666666667	20.45	9.315	88.3333333333333	NA	NA	NA	NA	NA	328.883519497744
FALSE	"craywatch_data"	2024	"2024-09-13"	NA	NA	NA	NA	0.5	NA	NA	NA	NA	1	NA	NA	NA	NA	5	"Leiebekken"	3.3144737961618	50.8400718024118	1900	NA	NA	"WVLHAR0329"	272	0	"OW633050; OW633055"	"2024-06-03; 2024-06-17; 2024-07-01; 2024-07-15; 2024-07-29; 2024-08-13; 2024-08-26; 2024-06-10; 2024-06-24; 2024-07-04; 2024-07-08; 2024-07-22; 2024-08-05; 2024-08-19"	"12:13:06; 12:09:13; 10:33:17; 11:21:04; 11:45:44; 12:36:45; 11:49:10; 12:02:16; 11:24:30; 12:10:22; 11:50:29; 10:44:40; 11:01:36; 11:40:45; 11:11:30; 12:19:56; 11:53:33; 11:13:23; 12:41:49; 12:36:11; 11:59:41"	"RV: De Gavers (grote vijver); steiger; RV: De Gavers (kleine vijver); zwemstrand"	76302.997604	170662.667276	"DE GAVERS"	"Leiebekken"	"Harelbeke"	NA	NA	10.8738095238095	NA	604.571428571429	21.152380952381	8.21619047619048	200	NA	NA	NA	NA	NA	590.338011729266
TRUE	"craywatch_data"	2024	"2024-09-20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	"Leiebekken"	3.3261379961596	50.8457795024114	5688	NA	NA	"WVLHAR0329"	274	0	"OW633050; OW633055"	"2024-06-03; 2024-06-17; 2024-07-01; 2024-07-15; 2024-07-29; 2024-08-13; 2024-08-26; 2024-06-10; 2024-06-24; 2024-07-04; 2024-07-08; 2024-07-22; 2024-08-05; 2024-08-19"	"12:13:06; 12:09:13; 10:33:17; 11:21:04; 11:45:44; 12:36:45; 11:49:10; 12:02:16; 11:24:30; 12:10:22; 11:50:29; 10:44:40; 11:01:36; 11:40:45; 11:11:30; 12:19:56; 11:53:33; 11:13:23; 12:41:49; 12:36:11; 11:59:41"	"RV: De Gavers (grote vijver); steiger; RV: De Gavers (kleine vijver); zwemstrand"	76302.997604	170662.667276	"DE GAVERS"	"Leiebekken"	"Harelbeke"	NA	NA	10.8738095238095	NA	604.571428571429	21.152380952381	8.21619047619048	200	NA	NA	NA	NA	NA	525.06907716773
TRUE	"craywatch_data"	2024	"2024-09-13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	"Bekken van de Gentse Kanalen"	3.678892296096	51.0517868023906	1138	NA	NA	"OVLGNT0448"	336	0	"OW570000; OW570010"	"2024-06-03; 2024-06-17; 2024-07-01; 2024-07-15; 2024-07-29; 2024-08-12; 2024-08-26"	"09:01:44; 10:13:58; 08:58:52; 11:34:07; 09:00:06; 10:14:18; 09:07:47; 08:41:04; 09:57:14; 09:11:18; 11:25:12; 08:50:02; 09:49:11; 08:58:13"	"Watersportbaan,Noorderlaan,thv BLOSO; Watersportbaan,Yachtdreef,thv clubhuis"	102652.499627	193382.99873	"WATERSPORTBAAN"	"Bekken van de Gentse Kanalen"	"Gent"	NA	NA	9.32642857142857	NA	648.642857142857	20.7	8.18142857142857	51.7857142857143	NA	NA	NA	NA	NA	1085.99323496472
TRUE	"craywatch_data"	2024	"2024-10-04"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	"Leiebekken"	3.57045299611602	50.9922690023959	6068	NA	NA	"OVLDEI0194"	422	0	"OW590010"	"2024-06-04; 2024-06-10; 2024-06-18; 2024-06-24; 2024-07-02; 2024-07-09; 2024-07-15; 2024-07-22; 2024-07-30; 2024-08-05; 2024-08-13; 2024-08-19; 2024-08-27"	"13:47:51; 11:48:46; 14:14:26; 11:55:14; 11:51:38; 09:44:55; 14:13:50; 09:22:45; 14:14:22; 10:14:26; 14:50:06; 13:32:20; 14:58:23"	"RV: Vosselare Put; Bachte-Maria-Leerne,einde Kleine Pontstraat"	92980.000363	187897.998641	"OUDE LEIE"	"Leiebekken"	"Deinze"	40.1666666666667	1.99	10.1392307692308	NA	588.153846153846	22.3230769230769	8.28230769230769	41.5384615384615	0.4825	NA	NA	NA	NA	1201.97438718933
